,Tag
1950,כלכלי
1951,כלכלי
1952,חינוך
1953,בלי
1954,כלכלי
1955,בלי
1956,כלכלי
1957,בלי
1958,בריאות
1959,בלי
1960,בלי
1961,בלי
1962,בריאות
1963,כלכלי
1964,בריאות
1965,חינוך
